"key","english","vietnamese","claude_note"
"emotions.sad-4-ashamed.story","It was just a shortcut, he'd told himself. A few copied paragraphs in a paper no one would read closely anyway. But when the professor called him into her office, evidence spread across her desk, Michael couldn't meet her eyes. The disappointment in her voice was worse than anger would have been. He'd betrayed not just academic rules, but his own sense of who he was.","Chỉ là một lối tắt, anh đã tự nhủ. Một vài đoạn văn được sao chép trong một bài báo mà không ai đọc kỹ. Nhưng khi giáo sư gọi anh vào văn phòng, bằng chứng trải rộng trên bàn làm việc của cô, Michael không thể nhìn vào mắt cô. Sự thất vọng trong giọng nói của cô tệ hơn sự tức giận. Anh đã phản bội không chỉ các quy tắc học thuật, mà còn cả cảm giác của anh về chính mình.",""
"emotions.disgust-1-dislike.name","Dislike","Không Thích",""
"emotions.disgust-1-dislike.category","Disgust","Ghê Tởm","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.disgust-1-dislike.description","A feeling of aversion or disapproval toward something or someone. Dislike helps you identify what doesn't align with your values.","Cảm giác ghét bỏ hoặc không chấp nhận đối với điều gì đó hoặc ai đó. Sự không thích giúp bạn xác định những gì không phù hợp với giá trị của bạn.",""
"emotions.disgust-1-dislike.question","What feels misaligned with your values or preferences? What boundary or choice does this reveal?","Điều gì cảm thấy không phù hợp với giá trị hoặc sở thích của bạn? Ranh giới hay lựa chọn nào điều này tiết lộ?",""
"emotions.disgust-1-dislike.overloadRisk","If you over-use this feeling, you may slide into harsh judgment, bias, or rejection of people or ideas too quickly.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể trượt vào sự phán xét khắc nghiệt, định kiến, hoặc từ chối con người hay ý tưởng quá nhanh.",""
"emotions.disgust-1-dislike.overloadTip","To balance, name specifically what you dislike—behavior, style, or impact—without condemning the whole person or situation, and decide what boundary is actually needed.","Để cân bằng, hãy đặt tên cụ thể những gì bạn không thích—hành vi, phong cách hoặc tác động—mà không lên án toàn bộ con người hay tình huống, và quyết định ranh giới nào thực sự cần thiết.",""
"emotions.disgust-1-dislike.adaptivePurpose","Signals that something does not fit your tastes, needs, or values and you may want distance or a different choice.","Báo hiệu rằng điều gì đó không phù hợp với sở thích, nhu cầu hoặc giá trị của bạn và bạn có thể muốn giữ khoảng cách hoặc lựa chọn khác.",""
"emotions.disgust-1-dislike.relatedFeelings","Revolted | Withdrawn | Repulsed","Kinh Tởm | Xa Lánh | Ghét Bỏ","Pipe-separated list"
"emotions.disgust-1-dislike.borderInfo","Dislike is near Sadness because it involves emotional withdrawal and rejection.","Không Thích gần với Buồn Bã vì nó liên quan đến sự rút lui cảm xúc và từ chối.",""
"emotions.disgust-1-dislike.story","Every comment in the meeting, every ""well, actually,"" every interruption—Grace felt her jaw tighten a little more. She couldn't point to anything overtly offensive about her new colleague, but something about his manner set her teeth on edge. By the meeting's end, she knew she'd need to find ways to limit their interactions if she wanted to stay professional.","Mỗi bình luận trong cuộc họp, mỗi câu 'thực ra thì,' mỗi lần ngắt lời—Grace cảm thấy hàm cô siết chặt hơn một chút. Cô không thể chỉ ra điều gì đặc biệt xúc phạm trong người đồng nghiệp mới, nhưng có điều gì đó trong cách cư xử của anh ta khiến cô khó chịu. Đến cuối cuộc họp, cô biết mình sẽ cần tìm cách hạn chế các tương tác của họ nếu cô muốn duy trì sự chuyên nghiệp.",""
"emotions.disgust-2-avoidance.name","Avoidance","Né Tránh",""
"emotions.disgust-2-avoidance.category","Disgust","Ghê Tởm","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.disgust-2-avoidance.description","A tendency to stay away from something unpleasant or uncomfortable. Avoidance is a protective response to things that feel threatening.","Xu hướng tránh xa điều gì đó khó chịu hoặc không thoải mái. Sự né tránh là phản ứng bảo vệ đối với những điều cảm thấy đe dọa.",""
"emotions.disgust-2-avoidance.question","What feels unsafe, overwhelming, or draining? How can you approach it with more support or clarity?","Điều gì cảm thấy không an toàn, quá sức chịu đựng hoặc làm cạn kiệt năng lượng? Làm thế nào bạn có thể tiếp cận với nhiều hỗ trợ hoặc sự rõ ràng hơn?",""
"emotions.disgust-2-avoidance.overloadRisk","If you over-use this feeling, you may delay important actions, stay stuck, or let problems quietly grow.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể trì hoãn những hành động quan trọng, bị mắc kẹt, hoặc để các vấn đề âm thầm lớn dần.",""
"emotions.disgust-2-avoidance.overloadTip","To balance, break the avoided task or situation into one very small step and consider what support, information, or boundary would make it more manageable.","Để cân bằng, hãy chia nhỏ nhiệm vụ hoặc tình huống bị né tránh thành một bước rất nhỏ và xem xét sự hỗ trợ, thông tin hoặc ranh giới nào sẽ giúp nó dễ quản lý hơn.",""
"emotions.disgust-2-avoidance.adaptivePurpose","Signals that something seems too threatening, overwhelming, or unpleasant to face with your current resources.","Báo hiệu rằng điều gì đó có vẻ quá đe dọa, quá sức chịu đựng hoặc khó chịu để đối mặt với nguồn lực hiện tại của bạn.",""
"emotions.disgust-2-avoidance.relatedFeelings","Hesitant | Averse | Reluctant","Do Dự | Ngại Ngùng | Miễn Cưỡng","Pipe-separated list"
"emotions.disgust-2-avoidance.borderInfo","Avoidance is Disgust in action—the impulse to create distance. It sits between Dislike (the judgment) and Awful (intense disgust).","Né Tránh là Ghê Tởm trong hành động—sự thôi thúc tạo ra khoảng cách. Nó nằm giữa Không Thích (sự phán xét) và Kinh Khủng (ghê tởm mãnh liệt).",""
"emotions.disgust-2-avoidance.story","The pile of mail on the counter had grown into a small mountain. Bills, probably. Maybe something from the IRS. Omar walked past it every day, made coffee inches away from it, and somehow never quite managed to open any of it. He knew this was making things worse. He also knew he wasn't going to deal with it today. Probably not tomorrow either.","Đống thư trên quầy bếp đã chất thành một núi nhỏ. Hóa đơn, có lẽ vậy. Có thể có gì đó từ cơ quan thuế. Omar đi ngang qua nó mỗi ngày, pha cà phê cách nó vài phân, và bằng cách nào đó không bao giờ thực sự mở bất kỳ cái nào. Anh biết điều này đang làm mọi thứ tệ hơn. Anh cũng biết mình sẽ không xử lý nó hôm nay. Có lẽ ngày mai cũng không.",""
"emotions.disgust-3-aweful.name","Awful","Kinh Khủng",""
"emotions.disgust-3-aweful.category","Disgust","Ghê Tởm","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.disgust-3-aweful.description","A strong negative feeling about something very unpleasant or disagreeable. Feeling awful signals that something is deeply wrong or distressing.","Cảm giác tiêu cực mạnh mẽ về điều gì đó rất khó chịu hoặc không vừa lòng. Cảm giác kinh khủng báo hiệu rằng có điều gì đó sai sâu sắc hoặc gây đau khổ.",""
"emotions.disgust-3-aweful.question","What feels harmful or unacceptable? What standard or value is signaling a need for change?","Điều gì cảm thấy gây hại hoặc không thể chấp nhận được? Tiêu chuẩn hay giá trị nào đang báo hiệu cần thay đổi?",""
"emotions.disgust-3-aweful.overloadRisk","If you over-use this feeling, you may catastrophize, feel hopeless about change, or respond with only outrage instead of strategy.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể thổi phồng mọi chuyện, cảm thấy vô vọng về sự thay đổi, hoặc chỉ phản ứng bằng sự phẫn nộ thay vì chiến lược.",""
"emotions.disgust-3-aweful.overloadTip","To balance, clarify what exactly is harmful, then choose one realistic action—personal, relational, or systemic—that moves even slightly toward repair.","Để cân bằng, hãy làm rõ chính xác điều gì gây hại, sau đó chọn một hành động thực tế—cá nhân, quan hệ, hoặc hệ thống—dù chỉ di chuyển một chút về phía sự sửa chữa.",""
"emotions.disgust-3-aweful.adaptivePurpose","Signals that something feels deeply wrong, harmful, or out of integrity with your core values.","Báo hiệu rằng điều gì đó cảm thấy sai sâu sắc, gây hại, hoặc không nguyên vẹn với các giá trị cốt lõi của bạn.",""
"emotions.disgust-3-aweful.relatedFeelings","Repelled | Detested | Horrible","Ghê Tởm | Kinh Tởm | Khủng Khiếp","Pipe-separated list"
"emotions.disgust-3-aweful.borderInfo","Awful is the intense center of Disgust—a visceral rejection of something harmful. It sits between Avoidance (behavioral response) and Disapproval (moral judgment).","Kinh Khủng là trung tâm mãnh liệt của Ghê Tởm—sự từ chối nội tâm mạnh mẽ với điều gây hại. Nó nằm giữa Né Tránh (phản ứng hành vi) và Không Tán Thành (phán xét đạo đức).",""
"emotions.disgust-3-aweful.story","The documentary showed footage from the factory farms—animals in conditions she couldn't unsee. Natalie had known, intellectually, where her food came from. But knowing and seeing were different things. She closed her laptop, stomach churning, feeling implicated in something she'd never really let herself think about before.","Bộ phim tài liệu cho thấy cảnh từ các trang trại chăn nuôi công nghiệp—những con vật trong điều kiện mà cô không thể xóa khỏi mắt mình. Natalie đã biết, về mặt trí tuệ, thức ăn của mình đến từ đâu. Nhưng biết và thấy là hai điều khác nhau. Cô đóng máy tính xách tay, bụng quặn thắt, cảm thấy mình bị liên can vào điều gì đó mà cô chưa bao giờ thực sự để bản thân nghĩ đến trước đây.",""
"emotions.disgust-4-disapproval.name","Disapproval","Không Tán Thành",""
"emotions.disgust-4-disapproval.category","Disgust","Ghê Tởm","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.disgust-4-disapproval.description","A negative judgment or opinion about someone or something. Disapproval reflects a conflict between your values and what you observe.","Sự phán xét tiêu cực hoặc ý kiến về ai đó hoặc điều gì đó. Sự không tán thành phản ánh xung đột giữa giá trị của bạn và những gì bạn quan sát.",""
"emotions.disgust-4-disapproval.question","What expectation wasn't met? What value is prompting this reaction, and what change do you hope for?","Kỳ vọng nào không được đáp ứng? Giá trị nào đang thúc đẩy phản ứng này, và bạn hy vọng thay đổi gì?",""
"emotions.disgust-4-disapproval.overloadRisk","If you over-use this feeling, you may become rigid, overly critical, or alienating to others.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể trở nên cứng nhắc, quá chỉ trích, hoặc xa lánh người khác.",""
"emotions.disgust-4-disapproval.overloadTip","To balance, connect to the value underneath your disapproval and express it in a way that invites dialogue and improvement, not shame.","Để cân bằng, hãy kết nối với giá trị ẩn dưới sự không tán thành của bạn và bày tỏ nó theo cách mời đối thoại và cải thiện, không phải xấu hổ.",""
"emotions.disgust-4-disapproval.adaptivePurpose","Signals that a behavior or outcome does not meet your standards or values and that you care about doing better.","Báo hiệu rằng một hành vi hoặc kết quả không đáp ứng tiêu chuẩn hoặc giá trị của bạn và bạn quan tâm đến việc làm tốt hơn.",""
"emotions.disgust-4-disapproval.relatedFeelings","Loathing | Judgmental | Critical","Căm Ghét | Phán Xét | Chỉ Trích","Pipe-separated list"
"emotions.disgust-4-disapproval.borderInfo","Disapproval is near Anger because it involves critical evaluation and potential confrontation.","Không Tán Thành gần với Tức Giận vì nó liên quan đến sự đánh giá phê phán và khả năng đối đầu.",""
"emotions.disgust-4-disapproval.story","Watching his son scroll through his phone during their grandmother's birthday speech, Richard felt his expression harden. The old woman was sharing memories of her late husband, her voice cracking with emotion, and Tyler couldn't be bothered to look up for five minutes. Richard caught his son's eye and gave a slow shake of his head. Some things shouldn't need to be explained.","Nhìn con trai lướt điện thoại trong khi bài phát biểu sinh nhật của bà nội diễn ra, Richard cảm thấy nét mặt mình cứng lại. Người phụ nữ già đang chia sẻ những ký ức về người chồng đã khuất, giọng nói nứt ra vì xúc động, và Tyler không buồn nhìn lên trong năm phút. Richard bắt gặp mắt con trai và lắc đầu chậm rãi. Có những điều không cần phải giải thích.",""
"emotions.anger-1-aggressive.name","Aggressive","Hung Hăng",""
"emotions.anger-1-aggressive.category","Anger","Tức Giận","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.anger-1-aggressive.description","A forceful and confrontational expression of anger. Aggression is often a response to feeling threatened or frustrated.","Cách bày tỏ tức giận mạnh mẽ và đối đầu. Sự hung hăng thường là phản ứng khi cảm thấy bị đe dọa hoặc thất vọng.",""
"emotions.anger-1-aggressive.question","What boundary needs to be protected? What matters enough that you feel compelled to act?","Ranh giới nào cần được bảo vệ? Điều gì quan trọng đến mức bạn cảm thấy bắt buộc phải hành động?",""
"emotions.anger-1-aggressive.overloadRisk","If you over-use this feeling, you may lash out in ways that harm others, escalate conflict, or undermine your own goals.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể bùng phát theo cách làm hại người khác, leo thang xung đột, hoặc phá hoại mục tiêu của chính bạn.",""
"emotions.anger-1-aggressive.overloadTip","To balance, pause before acting, use the energy to choose clear and firm words or actions, and focus on the outcome you truly want.","Để cân bằng, hãy dừng lại trước khi hành động, dùng năng lượng này để chọn những từ ngữ hay hành động rõ ràng và kiên quyết, và tập trung vào kết quả bạn thực sự muốn.",""
"emotions.anger-1-aggressive.adaptivePurpose","Signals that you perceive a serious threat, injustice, or violation and feel a strong drive to defend or protect.","Báo hiệu rằng bạn nhận ra một mối đe dọa, bất công hoặc vi phạm nghiêm trọng và cảm thấy một sức mạnh mạnh mẽ để bảo vệ.",""
"emotions.anger-1-aggressive.relatedFeelings","Hostile | Provoked | Combative","Thù Địch | Bị Khiêu Khích | Hiếu Chiến","Pipe-separated list"
"emotions.anger-1-aggressive.borderInfo","Aggressive is near Disgust because it involves rejecting or pushing away what's unacceptable.","Hung Hăng gần với Ghê Tởm vì nó liên quan đến việc từ chối hoặc đẩy đi những gì không thể chấp nhận.",""
"emotions.anger-1-aggressive.story","""Say that again."" Victor's voice was low, dangerous. The man at the bar had made a comment about his wife—loud enough to be heard, quiet enough to deny. Victor felt his hands curl into fists, felt the familiar heat rising in his chest. Every instinct screamed at him to make this guy regret opening his mouth. His wife's hand on his arm was the only thing holding him back.","""Nói lại đi."" Giọng Victor trầm xuống, nguy hiểm. Người đàn ông ở quán bar đã nói điều gì đó về vợ anh—đủ to để nghe thấy, đủ nhỏ để phủ nhận. Victor cảm thấy tay mình siết chặt thành nắm đấm, cảm thấy sức nóng quen thuộc dâng lên trong ngực. Mọi bản năng thét vào anh phải làm cho tên này hối hận vì đã mở miệng. Bàn tay vợ anh trên cánh tay anh là điều duy nhất ghìm anh lại.",""
"emotions.anger-2-mad.name","Mad","Phẫn Nộ",""
"emotions.anger-2-mad.category","Anger","Tức Giận","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.anger-2-mad.description","An intense feeling of displeasure or rage. Being mad signals that something has violated your boundaries or expectations.","Cảm giác không hài lòng hoặc giận dữ mãnh liệt. Sự phẫn nộ báo hiệu rằng điều gì đó đã vi phạm ranh giới hoặc kỳ vọng của bạn.",""
"emotions.anger-2-mad.question","What value or expectation was violated? What do you need to express or repair?","Giá trị hay kỳ vọng nào bị vi phạm? Bạn cần bày tỏ hay sửa chữa điều gì?",""
"emotions.anger-2-mad.overloadRisk","If you over-use this feeling, you may hold grudges, replay the story, or attack rather than seek resolution.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể giữ oán giận, lặp lại câu chuyện, hoặc tấn công thay vì tìm kiếm giải pháp.",""
"emotions.anger-2-mad.overloadTip","To balance, name specifically what was not okay and decide whether you want to set a boundary, ask for change, or consciously let it go.","Để cân bằng, hãy đặt tên cụ thể điều gì không ổn và quyết định xem bạn muốn thiết lập ranh giới, yêu cầu thay đổi, hoặc có ý thức buông bỏ.",""
"emotions.anger-2-mad.adaptivePurpose","Signals that something feels unfair or not okay and that you want change or acknowledgment.","Báo hiệu rằng điều gì đó cảm thấy không công bằng hoặc không ổn và bạn muốn thay đổi hoặc sự thừa nhận.",""
"emotions.anger-2-mad.relatedFeelings","Enraged | Furious | Livid","Điên Cuồng | Tức Giận Dữ Dội | Căm Phẫn","Pipe-separated list"
"emotions.anger-2-mad.borderInfo","Mad is the hot center of Anger—intense displeasure at a violation. It sits between Aggressive (action-ready) and Frustrated (blocked goals).","Phẫn Nộ là trung tâm nóng bỏng của Tức Giận—sự không hài lòng mãnh liệt trước một vi phạm. Nó nằm giữa Hung Hăng (sẵn sàng hành động) và Bực Bội (mục tiêu bị chặn).",""
"emotions.anger-2-mad.story","Three hours. Three hours she'd been waiting for the cable company, watching the window between ""12 and 4"" slowly tick away. When her phone finally rang at 4:30—""We need to reschedule""—Diane felt something snap. The carefully worded complaint she'd prepared vanished, replaced by a flood of every frustration she'd swallowed for months. The customer service rep didn't deserve it, but he got it anyway.","Ba tiếng đồng hồ. Cô đã chờ đợi công ty cáp trong ba tiếng, nhìn khoảng thời gian từ '12 đến 4' trôi qua từ từ. Khi điện thoại cuối cùng reo vào lúc 4:30—'Chúng tôi cần sắp xếp lại lịch'—Diane cảm thấy như có gì đó đứt. Lời phàn nàn được cẩn thận soạn sẵn biến mất, thay thế bằng dòng chảy của mọi sự thất vọng cô đã nuốt vào trong nhiều tháng. Nhân viên chăm sóc khách hàng không đáng nhận điều đó, nhưng anh ta vẫn nhận.",""
"emotions.anger-3-frustrated.name","Frustrated","Bực Bội",""
"emotions.anger-3-frustrated.category","Anger","Tức Giận","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.anger-3-frustrated.description","A feeling of upset or annoyance when unable to achieve something. Frustration arises from blocked goals or unmet needs.","Cảm giác tức giận hay khó chịu khi không thể đạt được điều gì đó. Sự bực bội phát sinh từ những mục tiêu bị chặn hoặc nhu cầu không được đáp ứng.",""
"emotions.anger-3-frustrated.question","What's getting in the way of your goal? What shift—internal or external—would help you move forward?","Điều gì đang cản trở mục tiêu của bạn? Sự thay đổi nào—nội tâm hay bên ngoài—sẽ giúp bạn tiến về phía trước?",""
"emotions.anger-3-frustrated.overloadRisk","If you over-use this feeling, you may give up, blame others, or push people too hard.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể bỏ cuộc, đổ lỗi cho người khác, hoặc gây áp lực quá mức lên người khác.",""
"emotions.anger-3-frustrated.overloadTip","To balance, step back to clarify your goal, then choose one different approach, request, or boundary that could unlock movement.","Để cân bằng, hãy lùi lại để làm rõ mục tiêu của bạn, sau đó chọn một cách tiếp cận, yêu cầu hoặc ranh giới khác có thể mở ra sự tiến triển.",""
"emotions.anger-3-frustrated.adaptivePurpose","Signals that your effort is blocked and you want progress, efficiency, or a different result.","Báo hiệu rằng nỗ lực của bạn bị chặn và bạn muốn tiến triển, hiệu quả hoặc kết quả khác.",""
"emotions.anger-3-frustrated.relatedFeelings","Annoyed | Irritated | Exasperated","Khó Chịu | Bực Dọc | Kiệt Sức","Pipe-separated list"
"emotions.anger-3-frustrated.borderInfo","Frustrated is Anger meeting obstacles—the energy to change something that isn't working. It sits between Mad (intense anger) and Critical (analytical anger).","Bực Bội là Tức Giận gặp chướng ngại vật—năng lượng để thay đổi điều không hiệu quả. Nó nằm giữa Phẫn Nộ (tức giận mãnh liệt) và Chỉ Trích (tức giận phân tích).",""
"emotions.anger-3-frustrated.story","The code should work. Alex had checked every line, compared it to the documentation, even copied examples directly. Still, the same error message, mocking him in red. He'd been at this for six hours. His coffee was cold. The solution was probably something obvious, something he'd kick himself for missing. But right now, all he wanted was to throw his laptop out the window.","Code phải hoạt động. Alex đã kiểm tra từng dòng, so sánh với tài liệu, thậm chí sao chép trực tiếp các ví dụ. Vẫn còn cùng thông báo lỗi đó, chế giễu anh bằng màu đỏ. Anh đã làm điều này trong sáu tiếng. Cà phê nguội lạnh rồi. Giải pháp có lẽ là điều gì đó rõ ràng, điều mà anh sẽ tự chê cười vì đã bỏ lỡ. Nhưng lúc này, tất cả những gì anh muốn là ném máy tính xách tay qua cửa sổ.",""
"emotions.anger-4-critical.name","Critical","Chỉ Trích",""
"emotions.anger-4-critical.category","Anger","Tức Giận","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.anger-4-critical.description","A tendency to find fault or judge harshly. Being critical can be a form of anger directed at perceived flaws or failures.","Xu hướng tìm lỗi hay phán xét khắc nghiệt. Sự chỉ trích có thể là một hình thức tức giận hướng đến những khuyết điểm hay thất bại được nhận ra.",""
"emotions.anger-4-critical.question","What improvement do you see is needed? What outcome are you trying to protect or enhance?","Bạn thấy cần cải thiện điều gì? Kết quả nào bạn đang cố bảo vệ hay nâng cao?",""
"emotions.anger-4-critical.overloadRisk","If you over-use this feeling, you may default to fault-finding, discourage others, or block creativity and experimentation.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể mặc định vào việc tìm lỗi, làm nản lòng người khác, hoặc chặn sự sáng tạo và thử nghiệm.",""
"emotions.anger-4-critical.overloadTip","To balance, acknowledge at least one thing that is working before naming concerns, and frame your critique as a contribution to shared improvement.","Để cân bằng, hãy thừa nhận ít nhất một điều đang hoạt động trước khi nêu ra những mối quan tâm, và đóng khung lời phê bình của bạn như một đóng góp cho sự cải thiện chung.",""
"emotions.anger-4-critical.adaptivePurpose","Signals that you notice risks, errors, or potential improvements and care about quality or integrity.","Báo hiệu rằng bạn nhận ra rủi ro, lỗi hoặc cải tiến tiềm năng và quan tâm đến chất lượng hoặc sự chính trực.",""
"emotions.anger-4-critical.relatedFeelings","Sarcastic | Skeptical | Judgmental","Mỉa Mai | Hoài Nghi | Phán Xét","Pipe-separated list"
"emotions.anger-4-critical.borderInfo","Critical is near Anticipation because it involves vigilance and preparation against potential problems.","Chỉ Trích gần với Mong Đợi vì nó liên quan đến sự cảnh giác và chuẩn bị trước những vấn đề tiềm ẩn.",""
"emotions.anger-4-critical.story","""It's fine, I guess."" Sophie watched her roommate's face fall at the lukewarm response to her new painting. She hadn't meant to be harsh, but she could see every flaw—the muddy colors, the uncertain brushwork, the derivative composition. The kindest thing would have been encouraging words. Instead, she'd let her standards speak for her, and now the moment to be supportive had passed.","""Tạm ổn, tôi đoán vậy."" Sophie nhìn mặt người bạn cùng phòng sa sầm trước phản ứng nguội lạnh về bức tranh mới của cô ấy. Cô không có ý định gay gắt, nhưng cô có thể thấy mọi khiếm khuyết—màu sắc xỉn, nét cọ không chắc, bố cục kém sáng tạo. Điều tử tế nhất đáng lẽ là những lời động viên. Thay vào đó, cô đã để tiêu chuẩn của mình nói thay, và giờ khoảnh khắc để hỗ trợ đã qua.",""
"emotions.anticipation-1-excited.name","Excited","Hào Hứng",""
"emotions.anticipation-1-excited.category","Anticipation","Mong Đợi","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.anticipation-1-excited.description","A feeling of enthusiastic eagerness about something that's going to happen. Excitement energizes you and creates positive anticipation.","Cảm giác háo hức nhiệt tình về điều gì đó sắp xảy ra. Sự hào hứng tiếp thêm năng lượng cho bạn và tạo ra sự chờ đợi tích cực.",""
"emotions.anticipation-1-excited.question","What opportunity is energizing you? How can you channel this energy into intentional action?","Cơ hội nào đang tiếp thêm năng lượng cho bạn? Làm thế nào bạn có thể hướng năng lượng này vào hành động có chủ tâm?",""
"emotions.anticipation-1-excited.overloadRisk","If you over-use this feeling, you may overcommit, rush ahead without planning, or burn out.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể cam kết quá nhiều, lao về phía trước mà không có kế hoạch, hoặc kiệt sức.",""
"emotions.anticipation-1-excited.overloadTip","To balance, match your energy with a realistic plan and pacing, and choose one clear next step instead of trying to do everything at once.","Để cân bằng, hãy kết hợp năng lượng của bạn với một kế hoạch và nhịp độ thực tế, và chọn một bước tiếp theo rõ ràng thay vì cố gắng làm mọi thứ cùng một lúc.",""
"emotions.anticipation-1-excited.adaptivePurpose","Signals that you feel energized by a possibility and are ready to engage with it.","Báo hiệu rằng bạn cảm thấy tràn đầy năng lượng bởi một khả năng và sẵn sàng tham gia vào nó.",""
"emotions.anticipation-1-excited.relatedFeelings","Passionate | Energized | Thrilled","Đam Mê | Tràn Đầy Năng Lượng | Phấn Khích","Pipe-separated list"
"emotions.anticipation-1-excited.borderInfo","Excited is near Anger because it involves intense energy and readiness for action.","Hào Hứng gần với Tức Giận vì nó liên quan đến năng lượng mãnh liệt và sự sẵn sàng hành động.",""
"emotions.anticipation-1-excited.story","The concert was still three weeks away, but Jasmine had already planned her outfit, made a playlist of songs to re-learn, and started counting down the days. She'd been following this band since middle school, knew every album, every interview. The fact that she'd actually gotten tickets—good tickets—still didn't feel entirely real.","Buổi hòa nhạc còn ba tuần nữa, nhưng Jasmine đã lên kế hoạch trang phục, tạo danh sách phát những bài hát cần học lại, và bắt đầu đếm ngược từng ngày. Cô đã theo dõi ban nhạc này từ hồi trung học, biết từng album, từng cuộc phỏng vấn. Thực tế là cô đã thực sự lấy được vé—vé tốt—vẫn còn chưa cảm thấy hoàn toàn thực.",""
"emotions.anticipation-2-eager.name","Eager","Háo Hức",""
"emotions.anticipation-2-eager.category","Anticipation","Mong Đợi","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.anticipation-2-eager.description","A keen desire or readiness to do or experience something. Eagerness drives you forward with enthusiasm and motivation.","Mong muốn sắc bén hoặc sẵn sàng làm hay trải nghiệm điều gì đó. Sự háo hức thúc đẩy bạn tiến về phía trước với nhiệt tình và động lực.",""
"emotions.anticipation-2-eager.question","What do you want to move toward? What first step would move you in that direction?","Bạn muốn tiến về phía nào? Bước đầu tiên nào sẽ đưa bạn đi theo hướng đó?",""
"emotions.anticipation-2-eager.overloadRisk","If you over-use this feeling, you may ignore red flags, skip reflection, or say yes too often.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể bỏ qua những dấu hiệu cảnh báo, bỏ qua sự suy ngẫm, hoặc nói có quá nhiều lần.",""
"emotions.anticipation-2-eager.overloadTip","To balance, pause to ask what information, boundaries, or preparation you need before you move, then take a thoughtful first step.","Để cân bằng, hãy dừng lại để hỏi xem bạn cần thông tin, ranh giới hoặc chuẩn bị nào trước khi tiến, sau đó thực hiện một bước đầu tiên có suy nghĩ.",""
"emotions.anticipation-2-eager.adaptivePurpose","Signals that you feel ready to pursue something and want to move quickly toward it.","Báo hiệu rằng bạn cảm thấy sẵn sàng theo đuổi điều gì đó và muốn tiến về phía nó nhanh chóng.",""
"emotions.anticipation-2-eager.relatedFeelings","Enthusiastic | Motivated | Keen","Nhiệt Tình | Có Động Lực | Sắc Bén","Pipe-separated list"
"emotions.anticipation-2-eager.borderInfo","Eager is Anticipation in motion—ready and wanting to engage. It sits between Excited (high energy) and Interested (curious engagement).","Háo Hức là Mong Đợi trong hành động—sẵn sàng và muốn tham gia. Nó nằm giữa Hào Hứng (năng lượng cao) và Quan Tâm (tham gia tò mò).",""
"emotions.anticipation-2-eager.story","When the email came through—""Your application has been approved""—Ben was already grabbing his car keys. The rescue shelter closed in an hour, and somewhere inside was the dog he'd seen online, the one with the goofy ears and the soulful eyes. Six months of researching breeds, preparing his apartment, waiting for the right moment. Today was the day.","Khi email đến—'Đơn đăng ký của bạn đã được chấp nhận'—Ben đã cầm chìa khóa xe rồi. Trại cứu trợ đóng cửa sau một tiếng, và ở đâu đó bên trong là con chó anh đã thấy trực tuyến, con chó có đôi tai ngộ nghĩnh và đôi mắt đầy tâm hồn. Sáu tháng nghiên cứu các giống chó, chuẩn bị căn hộ, chờ đợi thời điểm thích hợp. Hôm nay là ngày đó rồi.",""
"emotions.anticipation-3-interested.name","Interested","Quan Tâm",""
"emotions.anticipation-3-interested.category","Anticipation","Mong Đợi","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.anticipation-3-interested.description","A feeling of wanting to learn more or be involved in something. Interest draws your attention and curiosity toward new experiences.","Cảm giác muốn tìm hiểu thêm hoặc tham gia vào điều gì đó. Sự quan tâm hướng sự chú ý và tò mò của bạn về những trải nghiệm mới.",""
"emotions.anticipation-3-interested.question","What is drawing your attention? What feels worth exploring or understanding more deeply?","Điều gì đang thu hút sự chú ý của bạn? Điều gì cảm thấy đáng khám phá hoặc hiểu sâu hơn?",""
"emotions.anticipation-3-interested.overloadRisk","If you over-use this feeling, you may scatter your focus, start many things, and finish few.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể phân tán trọng tâm, bắt đầu nhiều thứ và hoàn thành ít.",""
