"key","english","chinese","claude_note"
"emotions.disgust-1-dislike.borderInfo","Dislike is near Sadness because it involves emotional withdrawal and rejection.","厌恶靠近悲伤，因为它涉及情感上的退缩和拒绝。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.disgust-1-dislike.story","Every comment in the meeting, every ""well, actually,"" every interruption—Grace felt her jaw tighten a little more. She couldn't point to anything overtly offensive about her new colleague, but something about his manner set her teeth on edge. By the meeting's end, she knew she'd need to find ways to limit their interactions if she wanted to stay professional.","会议中的每一条评论、每一个其实嘛""、每一次打断——Grace感到下巴越来越紧。她无法指出新同事有什么明显冒犯之处，但他的某些举止让她牙齿发酸。会议结束时，她知道如果她想保持专业，就需要找到限制彼此互动的方法。""","Narrative vignette; character names (Grace, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.disgust-2-avoidance.name","Avoidance","回避","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.disgust-2-avoidance.category","Disgust","厌恶","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Disgust emotions must use identical category string."
"emotions.disgust-2-avoidance.description","A tendency to stay away from something unpleasant or uncomfortable. Avoidance is a protective response to things that feel threatening.","远离不愉快或不舒服事物的倾向。回避是对感到威胁性事物的保护性反应。",""
"emotions.disgust-2-avoidance.question","What feels unsafe, overwhelming, or draining? How can you approach it with more support or clarity?","什么让你感到不安全、不堪重负或精力耗尽？你怎样才能带着更多支持或清晰度去面对它？",""
"emotions.disgust-2-avoidance.overloadRisk","If you over-use this feeling, you may delay important actions, stay stuck, or let problems quietly grow.","如果过度使用这种情绪，你可能会拖延重要的行动、停滞不前，或让问题悄悄恶化。",""
"emotions.disgust-2-avoidance.overloadTip","To balance, break the avoided task or situation into one very small step and consider what support, information, or boundary would make it more manageable.","为了保持平衡，把你回避的任务或情境分解成一个非常小的步骤，并考虑什么支持、信息或边界能使它更易应对。",""
"emotions.disgust-2-avoidance.adaptivePurpose","Signals that something seems too threatening, overwhelming, or unpleasant to face with your current resources.","表明以你目前的资源来看，某些事情似乎太具威胁性、太不堪重负或太不愉快而无法面对。",""
"emotions.disgust-2-avoidance.relatedFeelings[0]","Hesitant","犹豫","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.disgust-2-avoidance.relatedFeelings[1]","Averse","抗拒","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.disgust-2-avoidance.relatedFeelings[2]","Reluctant","不情愿","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.disgust-2-avoidance.story","The pile of mail on the counter had grown into a small mountain. Bills, probably. Maybe something from the IRS. Omar walked past it every day, made coffee inches away from it, and somehow never quite managed to open any of it. He knew this was making things worse. He also knew he wasn't going to deal with it today. Probably not tomorrow either.","柜台上的邮件堆已经长成了一座小山。账单，可能吧。也许还有来自税务局的东西。Omar每天经过它，在离它几厘米的地方泡咖啡，却不知怎的就是没法拆开其中任何一封。他知道这让事情变得更糟。他也知道今天他不会去处理它。明天也可能不会。","Narrative vignette; character names (Omar, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.disgust-2-avoidance.borderInfo","Avoidance is Disgust in action—the impulse to create distance. It sits between Dislike (the judgment) and Awful (intense disgust).","“回避”是厌恶的行为表现——创造距离的冲动。它位于“厌恶”（评判）和“糟糕透顶”（强烈的厌恶）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.disgust-3-aweful.name","Awful","糟糕透顶","Emotion name; nuanced term -- ""糟糕透顶"" is quite long for a label; ""糟透了"" or ""可怕"" might be shorter alternatives."
"emotions.disgust-3-aweful.category","Disgust","厌恶","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Disgust emotions must use identical category string."
"emotions.disgust-3-aweful.description","A strong negative feeling about something very unpleasant or disagreeable. Feeling awful signals that something is deeply wrong or distressing.","对非常不愉快或令人不快事物的强烈负面感受。感觉糟糕透顶表明有什么事情严重出了错或令人痛苦。",""
"emotions.disgust-3-aweful.question","What feels harmful or unacceptable? What standard or value is signaling a need for change?","什么让你感到有害或不可接受？什么标准或价值观在发出需要改变的信号？",""
"emotions.disgust-3-aweful.overloadRisk","If you over-use this feeling, you may catastrophize, feel hopeless about change, or respond with only outrage instead of strategy.","如果过度使用这种情绪，你可能会灾难化、对改变感到绝望，或只以愤怒而非策略来回应。",""
"emotions.disgust-3-aweful.overloadTip","To balance, clarify what exactly is harmful, then choose one realistic action—personal, relational, or systemic—that moves even slightly toward repair.","为了保持平衡，弄清楚到底什么是有害的，然后选择一个现实的行动——个人的、关系的或系统性的——即使只是微小地朝修复方向前进。",""
"emotions.disgust-3-aweful.adaptivePurpose","Signals that something feels deeply wrong, harmful, or out of integrity with your core values.","表明某些事物让你感到深深的不对、有害或与你的核心价值观相悖。",""
"emotions.disgust-3-aweful.relatedFeelings[0]","Repelled","排斥","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.disgust-3-aweful.relatedFeelings[1]","Detested","憎恶","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.disgust-3-aweful.relatedFeelings[2]","Horrible","可怕","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.disgust-3-aweful.story","The documentary showed footage from the factory farms—animals in conditions she couldn't unsee. Natalie had known, intellectually, where her food came from. But knowing and seeing were different things. She closed her laptop, stomach churning, feeling implicated in something she'd never really let herself think about before.","那部纪录片展示了工厂化农场的画面——她再也无法忘记那些动物在那种条件下的场景。从理智上说，Natalie知道她的食物来自哪里。但知道和亲眼看到是不同的。她合上笔记本电脑，胃在翻搅，感到自己牵连在一件她从未真正让自己深思的事情中。","Narrative vignette; character names (Natalie, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.disgust-3-aweful.borderInfo","Awful is the intense center of Disgust—a visceral rejection of something harmful. It sits between Avoidance (behavioral response) and Disapproval (moral judgment).","“糟糕透顶”是厌恶的强烈中心——对有害事物的本能排斥。它位于“回避”（行为反应）和“不赞同”（道德评判）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.disgust-4-disapproval.name","Disapproval","不赞同","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.disgust-4-disapproval.category","Disgust","厌恶","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Disgust emotions must use identical category string."
"emotions.disgust-4-disapproval.description","A negative judgment or opinion about someone or something. Disapproval reflects a conflict between your values and what you observe.","对某人或某事的负面评判或意见。不赞同反映了你的价值观与你所观察到的之间的冲突。",""
"emotions.disgust-4-disapproval.question","What expectation wasn't met? What value is prompting this reaction, and what change do you hope for?","什么期望没有被满足？什么价值观在驱动这个反应，你希望看到什么改变？",""
"emotions.disgust-4-disapproval.overloadRisk","If you over-use this feeling, you may become rigid, overly critical, or alienating to others.","如果过度使用这种情绪，你可能变得僵化、过度批评或疏远他人。",""
"emotions.disgust-4-disapproval.overloadTip","To balance, connect to the value underneath your disapproval and express it in a way that invites dialogue and improvement, not shame.","为了保持平衡，与你不赞同背后的价值观相连，并以一种邀请对话和改进而非羞辱的方式表达它。",""
"emotions.disgust-4-disapproval.adaptivePurpose","Signals that a behavior or outcome does not meet your standards or values and that you care about doing better.","表明某种行为或结果不符合你的标准或价值观，你关心做得更好。",""
"emotions.disgust-4-disapproval.relatedFeelings[0]","Loathing","嫌恶","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.disgust-4-disapproval.relatedFeelings[1]","Judgmental","评判","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.disgust-4-disapproval.relatedFeelings[2]","Critical","批判","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.disgust-4-disapproval.borderInfo","Disapproval is near Anger because it involves critical evaluation and potential confrontation.","不赞同靠近愤怒，因为它涉及批判性评价和潜在的对抗。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.disgust-4-disapproval.story","Watching his son scroll through his phone during their grandmother's birthday speech, Richard felt his expression harden. The old woman was sharing memories of her late husband, her voice cracking with emotion, and Tyler couldn't be bothered to look up for five minutes. Richard caught his son's eye and gave a slow shake of his head. Some things shouldn't need to be explained.","看着儿子在奶奶生日致辞时刷手机，Richard的表情变得严肃。老太太正在分享关于已故丈夫的回忆，声音因情感而颤抖，而Tyler连抬头看五分钟都做不到。Richard与儿子对视，缓缓摇了摇头。有些事情不应该需要解释。","Narrative vignette; character names (Richard, Tyler, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.anger-1-aggressive.name","Aggressive","攻击性","Emotion name; nuanced term -- ""攻击性"" is a noun form; could also be ""好斗"" or ""攻击的"". Verify the usage feels natural as an emotion name label."
"emotions.anger-1-aggressive.category","Anger","愤怒","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anger emotions must use identical category string."
"emotions.anger-1-aggressive.description","A forceful and confrontational expression of anger. Aggression is often a response to feeling threatened or frustrated.","愤怒的一种激烈而对抗性的表达。攻击性通常是对感到受威胁或受挫的反应。",""
"emotions.anger-1-aggressive.question","What boundary needs to be protected? What matters enough that you feel compelled to act?","什么边界需要被保护？什么事情重要到让你感到必须采取行动？",""
"emotions.anger-1-aggressive.overloadRisk","If you over-use this feeling, you may lash out in ways that harm others, escalate conflict, or undermine your own goals.","如果过度使用这种情绪，你可能以伤害他人的方式猛烈回击、升级冲突或破坏自己的目标。",""
"emotions.anger-1-aggressive.overloadTip","To balance, pause before acting, use the energy to choose clear and firm words or actions, and focus on the outcome you truly want.","为了保持平衡，在行动前暂停，用这股能量选择清晰而坚定的语言或行动，并专注于你真正想要的结果。",""
"emotions.anger-1-aggressive.adaptivePurpose","Signals that you perceive a serious threat, injustice, or violation and feel a strong drive to defend or protect.","表明你感知到严重的威胁、不公正或侵犯，并有强烈的防御或保护冲动。",""
"emotions.anger-1-aggressive.relatedFeelings[0]","Hostile","敌意","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anger-1-aggressive.relatedFeelings[1]","Provoked","被激怒","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anger-1-aggressive.relatedFeelings[2]","Combative","好斗","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anger-1-aggressive.borderInfo","Aggressive is near Disgust because it involves rejecting or pushing away what's unacceptable.","攻击性靠近厌恶，因为它涉及拒绝或推开不可接受的事物。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.anger-1-aggressive.story","""Say that again."" Victor's voice was low, dangerous. The man at the bar had made a comment about his wife—loud enough to be heard, quiet enough to deny. Victor felt his hands curl into fists, felt the familiar heat rising in his chest. Every instinct screamed at him to make this guy regret opening his mouth. His wife's hand on his arm was the only thing holding him back.","再说一遍。""Victor的声音低沉而危险。酒吧里的那个男人对他妻子说了一句话——声音大到能被听见，又小到可以否认。Victor感到双手握成了拳头，感到胸口那熟悉的热浪升起。每一个本能都在叫嚣着要让这家伙后悔开口。他妻子放在他手臂上的手是唯一在拉住他的东西。""","Narrative vignette; character names (Victor, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.anger-2-mad.name","Mad","愤怒","Emotion name; note that ""愤怒"" is also used as the category name for Anger. Consider ""气愤"" or ""暴怒"" to differentiate the emotion name from the category."
"emotions.anger-2-mad.category","Anger","愤怒","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anger emotions must use identical category string."
"emotions.anger-2-mad.description","An intense feeling of displeasure or rage. Being mad signals that something has violated your boundaries or expectations.","一种强烈的不满或狂怒感。愤怒表明某些事情侵犯了你的边界或期望。",""
"emotions.anger-2-mad.question","What value or expectation was violated? What do you need to express or repair?","什么价值观或期望被侵犯了？你需要表达或修复什么？",""
"emotions.anger-2-mad.overloadRisk","If you over-use this feeling, you may hold grudges, replay the story, or attack rather than seek resolution.","如果过度使用这种情绪，你可能心怀怨恨、反复回放事件经过，或攻击而非寻求解决。",""
"emotions.anger-2-mad.overloadTip","To balance, name specifically what was not okay and decide whether you want to set a boundary, ask for change, or consciously let it go.","为了保持平衡，具体说出什么是不对的，然后决定你是想设立边界、要求改变，还是有意识地放下。",""
"emotions.anger-2-mad.adaptivePurpose","Signals that something feels unfair or not okay and that you want change or acknowledgment.","表明某些事情感觉不公平或不对，你想要改变或得到认可。",""
"emotions.anger-2-mad.relatedFeelings[0]","Enraged","暴怒","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anger-2-mad.relatedFeelings[1]","Furious","狂怒","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anger-2-mad.relatedFeelings[2]","Livid","怒不可遏","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anger-2-mad.story","Three hours. Three hours she'd been waiting for the cable company, watching the window between ""12 and 4"" slowly tick away. When her phone finally rang at 4:30—""We need to reschedule""—Diane felt something snap. The carefully worded complaint she'd prepared vanished, replaced by a flood of every frustration she'd swallowed for months. The customer service rep didn't deserve it, but he got it anyway.","三个小时。她等了三个小时等那个线缆公司，看着12点到4点""的窗口慢慢过去。当她的手机终于在4点半响了——""我们需要重新安排""——Diane感到什么东西断裂了。她精心准备的投诉措辞消失了，取而代之的是她几个月来忍下的所有挫败感的洪流。客服代表不该承受这些，但他承受了。""","Narrative vignette; character names (Diane, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.anger-2-mad.borderInfo","Mad is the hot center of Anger—intense displeasure at a violation. It sits between Aggressive (action-ready) and Frustrated (blocked goals).","“愤怒”是愤怒的灼热中心——对被侵犯的强烈不满。它位于“攻击性”（准备行动的）和“沮丧”（目标受阻的）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.anger-3-frustrated.name","Frustrated","沮丧","Emotion name; nuanced term -- ""沮丧"" can also mean dejected/discouraged. ""挫败"" might better capture the blocked-goal frustration sense."
"emotions.anger-3-frustrated.category","Anger","愤怒","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anger emotions must use identical category string."
"emotions.anger-3-frustrated.description","A feeling of upset or annoyance when unable to achieve something. Frustration arises from blocked goals or unmet needs.","无法达成某事时的烦恼或不快感。沮丧源于目标受阻或需求未满足。",""
"emotions.anger-3-frustrated.question","What's getting in the way of your goal? What shift—internal or external—would help you move forward?","什么阻碍了你的目标？什么内在或外在的转变能帮助你继续前进？",""
"emotions.anger-3-frustrated.overloadRisk","If you over-use this feeling, you may give up, blame others, or push people too hard.","如果过度使用这种情绪，你可能会放弃、责怪他人或过度施压。",""
"emotions.anger-3-frustrated.overloadTip","To balance, step back to clarify your goal, then choose one different approach, request, or boundary that could unlock movement.","为了保持平衡，退后一步明确你的目标，然后选择一种不同的方法、请求或边界来推动进展。",""
"emotions.anger-3-frustrated.adaptivePurpose","Signals that your effort is blocked and you want progress, efficiency, or a different result.","表明你的努力被阻碍，你渴望进步、效率或不同的结果。",""
"emotions.anger-3-frustrated.relatedFeelings[0]","Annoyed","烦恼","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anger-3-frustrated.relatedFeelings[1]","Irritated","恼怒","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anger-3-frustrated.relatedFeelings[2]","Exasperated","不耐烦","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anger-3-frustrated.story","The code should work. Alex had checked every line, compared it to the documentation, even copied examples directly. Still, the same error message, mocking him in red. He'd been at this for six hours. His coffee was cold. The solution was probably something obvious, something he'd kick himself for missing. But right now, all he wanted was to throw his laptop out the window.","代码应该能运行。Alex检查了每一行，与文档进行了对比，甚至直接复制了示例。但仍然是同样的错误消息，用红色嘲弄着他。他已经在这上面花了六个小时。咖啡已经凉了。解决方案可能很明显，是那种他会因为自己没发现而懊恼的东西。但此刻，他只想把笔记本电脑扔出窗外。","Narrative vignette; character names (Alex, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.anger-3-frustrated.borderInfo","Frustrated is Anger meeting obstacles—the energy to change something that isn't working. It sits between Mad (intense anger) and Critical (analytical anger).","“沮丧”是愤怒遇上障碍——改变不顺之事的能量。它位于“愤怒”（强烈的愤怒）和“苛刻”（分析性的愤怒）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.anger-4-critical.name","Critical","苛刻","Emotion name; nuanced term -- ""苛刻"" emphasizes harshness; ""批判"" emphasizes judgment. Verify which nuance is intended."
"emotions.anger-4-critical.category","Anger","愤怒","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anger emotions must use identical category string."
"emotions.anger-4-critical.description","A tendency to find fault or judge harshly. Being critical can be a form of anger directed at perceived flaws or failures.","一种挑剔或严厉评判的倾向。苛刻可以是针对被认为的缺陷或失败的愤怒表现形式。",""
"emotions.anger-4-critical.question","What improvement do you see is needed? What outcome are you trying to protect or enhance?","你看到需要什么改进？你试图保护或提升什么结果？",""
"emotions.anger-4-critical.overloadRisk","If you over-use this feeling, you may default to fault-finding, discourage others, or block creativity and experimentation.","如果过度使用这种情绪，你可能默认为挑错、打击他人或阻碍创造力和探索。",""
"emotions.anger-4-critical.overloadTip","To balance, acknowledge at least one thing that is working before naming concerns, and frame your critique as a contribution to shared improvement.","为了保持平衡，在说出关切之前先承认至少一件做得好的事，并将你的批评定位为对共同改进的贡献。",""
"emotions.anger-4-critical.adaptivePurpose","Signals that you notice risks, errors, or potential improvements and care about quality or integrity.","表明你注意到了风险、错误或可能的改进，关心质量或完整性。",""
"emotions.anger-4-critical.relatedFeelings[0]","Sarcastic","讽刺","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anger-4-critical.relatedFeelings[1]","Skeptical","怀疑","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anger-4-critical.relatedFeelings[2]","Judgmental","评判","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anger-4-critical.borderInfo","Critical is near Anticipation because it involves vigilance and preparation against potential problems.","苛刻靠近期待，因为它涉及对潜在问题的警惕和防备。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.anger-4-critical.story","""It's fine, I guess."" Sophie watched her roommate's face fall at the lukewarm response to her new painting. She hadn't meant to be harsh, but she could see every flaw—the muddy colors, the uncertain brushwork, the derivative composition. The kindest thing would have been encouraging words. Instead, she'd let her standards speak for her, and now the moment to be supportive had passed.","还行吧，我觉得。""Sophie看到室友对她新画收到的冷淡回应后脸上的失落。她不是有意要严厉，但她能看到每一个缺陷——泥泞的色彩、犹豫的笔触、缺乏原创性的构图。最善意的做法是说几句鼓励的话。然而，她让自己的标准替她说话了，而现在给予支持的时机已经过去了。""","Narrative vignette; character names (Sophie, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.anticipation-1-excited.name","Excited","兴奋","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.anticipation-1-excited.category","Anticipation","期待","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anticipation emotions must use identical category string."
"emotions.anticipation-1-excited.description","A feeling of enthusiastic eagerness about something that's going to happen. Excitement energizes you and creates positive anticipation.","对即将发生的事情充满热情和渴望。兴奋为你注入能量，创造积极的期待。",""
"emotions.anticipation-1-excited.question","What opportunity is energizing you? How can you channel this energy into intentional action?","什么机会正在激发你的能量？你如何将这种能量引导为有意识的行动？",""
"emotions.anticipation-1-excited.overloadRisk","If you over-use this feeling, you may overcommit, rush ahead without planning, or burn out.","如果过度使用这种情绪，你可能会过度承诺、仓促行动而不做计划，或精力耗尽。",""
"emotions.anticipation-1-excited.overloadTip","To balance, match your energy with a realistic plan and pacing, and choose one clear next step instead of trying to do everything at once.","为了保持平衡，将你的能量与现实的计划和节奏相匹配，选择一个明确的下一步而不是试图同时做所有事。",""
"emotions.anticipation-1-excited.adaptivePurpose","Signals that you feel energized by a possibility and are ready to engage with it.","表明你被一种可能性所激发，并准备好投入其中。",""
"emotions.anticipation-1-excited.relatedFeelings[0]","Passionate","热情","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anticipation-1-excited.relatedFeelings[1]","Energized","充满活力","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anticipation-1-excited.relatedFeelings[2]","Thrilled","激动","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anticipation-1-excited.borderInfo","Excited is near Anger because it involves intense energy and readiness for action.","兴奋靠近愤怒，因为它涉及强烈的能量和行动准备。","References other emotion categories; the category names used here should match the translated Chinese category names for consistency."
"emotions.anticipation-1-excited.story","The concert was still three weeks away, but Jasmine had already planned her outfit, made a playlist of songs to re-learn, and started counting down the days. She'd been following this band since middle school, knew every album, every interview. The fact that she'd actually gotten tickets—good tickets—still didn't feel entirely real.","演唱会还有三周才到，但Jasmine已经计划好了穿什么、制作了一个歌曲播放列表来重温，并开始倒计时。她从初中就开始关注这支乐队，知道每张专辑、每次采访。她竟然买到了票——还是好位置的票——这件事仍然感觉不太真实。","Narrative vignette; character names (Jasmine, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.anticipation-2-eager.name","Eager","热切","Emotion name; nuanced term -- ""热切"" captures eagerness well; could also be ""渴望"" or ""急切""."
"emotions.anticipation-2-eager.category","Anticipation","期待","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anticipation emotions must use identical category string."
"emotions.anticipation-2-eager.description","A keen desire or readiness to do or experience something. Eagerness drives you forward with enthusiasm and motivation.","对做某事或体验某事的强烈渴望或准备。热切以热情和动力推动你前进。",""
"emotions.anticipation-2-eager.question","What do you want to move toward? What first step would move you in that direction?","你想要走向什么？什么第一步能让你朝那个方向前进？",""
"emotions.anticipation-2-eager.overloadRisk","If you over-use this feeling, you may ignore red flags, skip reflection, or say yes too often.","如果过度使用这种情绪，你可能会忽略警告信号、跳过反思或太频繁地说好""。""",""
"emotions.anticipation-2-eager.overloadTip","To balance, pause to ask what information, boundaries, or preparation you need before you move, then take a thoughtful first step.","为了保持平衡，暂停一下问问自己在行动前需要什么信息、边界或准备，然后迈出深思熟虑的第一步。",""
"emotions.anticipation-2-eager.adaptivePurpose","Signals that you feel ready to pursue something and want to move quickly toward it.","表明你感觉准备好了追求某事，想要快速朝它前进。",""
"emotions.anticipation-2-eager.relatedFeelings[0]","Enthusiastic","热忱","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anticipation-2-eager.relatedFeelings[1]","Motivated","有动力","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anticipation-2-eager.relatedFeelings[2]","Keen","跃跃欲试","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anticipation-2-eager.story","When the email came through—""Your application has been approved""—Ben was already grabbing his car keys. The rescue shelter closed in an hour, and somewhere inside was the dog he'd seen online, the one with the goofy ears and the soulful eyes. Six months of researching breeds, preparing his apartment, waiting for the right moment. Today was the day.","当邮件来了——你的申请已批准""——Ben已经抓起了车钥匙。收容所一小时后就关门了，里面的某个地方有他在网上看到的那只狗，就是那只长着滑稽耳朵和忧郁眼神的狗。六个月的品种研究、公寓准备、等待合适的时机。今天就是那一天。""","Narrative vignette; character names (Ben, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.anticipation-2-eager.borderInfo","Eager is Anticipation in motion—ready and wanting to engage. It sits between Excited (high energy) and Interested (curious engagement).","“热切”是行动中的期待——准备好并渴望参与。它位于“兴奋”（高能量的）和“感兴趣”（好奇的投入）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.anticipation-3-interested.name","Interested","感兴趣","Emotion name; nuanced term -- verify it captures the same shade of meaning as the English."
"emotions.anticipation-3-interested.category","Anticipation","期待","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anticipation emotions must use identical category string."
"emotions.anticipation-3-interested.description","A feeling of wanting to learn more or be involved in something. Interest draws your attention and curiosity toward new experiences.","想要了解更多或参与某事的感觉。兴趣将你的注意力和好奇心引向新的体验。",""
"emotions.anticipation-3-interested.question","What is drawing your attention? What feels worth exploring or understanding more deeply?","什么在吸引你的注意力？什么值得更深入地探索或理解？",""
"emotions.anticipation-3-interested.overloadRisk","If you over-use this feeling, you may scatter your focus, start many things, and finish few.","如果过度使用这种情绪，你可能会分散注意力、开始很多事却完成很少。",""
"emotions.anticipation-3-interested.overloadTip","To balance, consciously choose one focus area for now and capture other interests on a list for later, so you can explore with intention.","为了保持平衡，有意识地选择当下的一个聚焦领域，把其他兴趣记在清单上留待以后，这样你可以有目的地探索。",""
"emotions.anticipation-3-interested.adaptivePurpose","Signals that your curiosity is activated and you see potential value in learning or exploring.","表明你的好奇心被激活，你看到了学习或探索的潜在价值。",""
"emotions.anticipation-3-interested.relatedFeelings[0]","Impatient","急切","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anticipation-3-interested.relatedFeelings[1]","Curious","好奇","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anticipation-3-interested.relatedFeelings[2]","Engaged","投入","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anticipation-3-interested.story","""Tell me more about that."" Professor Walsh leaned forward, genuinely curious. The student's thesis proposal wasn't polished yet, but there was something there—an unexpected connection between fields that rarely spoke to each other. Her mind was already racing with questions, potential research directions, colleagues who might want to collaborate. This was why she loved academia.","多跟我说说。""Walsh教授身体前倾，真心好奇。这个学生的论文提案还不够完善，但其中有些东西——两个几乎不交集的领域之间的意外联系。她的脑海已经在飞速运转，想着问题、潜在的研究方向、可能想要合作的同事。这就是她热爱学术的原因。""","Narrative vignette; character names (Professor Walsh, etc.) should stay in English/original form. Tone should be natural and literary."
"emotions.anticipation-3-interested.borderInfo","Interested is the thoughtful heart of Anticipation—attention drawn toward something worth exploring. It sits between Eager (ready to act) and Stressed (overwhelmed by demands).","“感兴趣”是期待的深思核心——注意力被值得探索之事所吸引。它位于“热切”（准备行动的）和“压力”（被需求压倒的）之间。","Emotional algebra text; describes position between neighboring emotions"
"emotions.anticipation-4-stressed.name","Stressed","压力","Emotion name; nuanced term -- ""压力"" is a noun; ""有压力"" or ""紧张"" might read more naturally as a feeling state label."
"emotions.anticipation-4-stressed.category","Anticipation","期待","Category name; MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anticipation emotions must use identical category string."
"emotions.anticipation-4-stressed.description","A state of mental or emotional strain from demanding circumstances. Stress signals that you're facing challenges that require energy and resources.","由苛刻环境导致的精神或情感紧张状态。压力表明你正面临需要精力和资源的挑战。",""
"emotions.anticipation-4-stressed.question","What pressures need attention? Where do you need relief, support, or clearer boundaries?","什么压力需要关注？你在哪里需要缓解、支持或更清晰的边界？",""
"emotions.anticipation-4-stressed.overloadRisk","If you over-use this feeling, you may run in crisis mode, make reactive decisions, or exhaust yourself.","如果过度使用这种情绪，你可能处于危机模式运转、做出反应性决定或耗尽自己。",""
"emotions.anticipation-4-stressed.overloadTip","To balance, identify one demand you can reduce, delegate, or delay and one brief practice that helps restore your energy or clarity.","为了保持平衡，找出一个你可以减少、委派或推迟的需求，以及一个帮助恢复精力或清晰度的简短练习。",""
"emotions.anticipation-4-stressed.adaptivePurpose","Signals that demands feel greater than your current resources and something needs to change.","表明需求感觉大于你目前的资源，需要做出改变。",""
"emotions.anticipation-4-stressed.relatedFeelings[0]","Overwhelmed","不堪重负","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
"emotions.anticipation-4-stressed.relatedFeelings[1]","Pressured","承受压力","Appears as a label/chip in the UI; keep concise. These also appear in the SVG wheel."
