"key","english","korean","claude_note"
"emotions.disgust-1-dislike.overloadTip","To balance, name specifically what you dislike—behavior, style, or impact—without condemning the whole person or situation, and decide what boundary is actually needed.","균형을 위해, 구체적으로 무엇이 싫은지 -- 행동, 스타일 또는 영향 -- 를 전체 사람이나 상황을 비난하지 않고 말하고, 실제로 어떤 경계가 필요한지 결정하세요.",""
"emotions.disgust-1-dislike.adaptivePurpose","Signals that something does not fit your tastes, needs, or values and you may want distance or a different choice.","무언가가 취향, 필요 또는 가치관에 맞지 않으며 거리를 두거나 다른 선택을 원할 수 있다는 신호입니다.",""
"emotions.disgust-1-dislike.relatedFeelings","Revolted, Withdrawn, Repulsed","역겨운, 움츠러든, 거부감을 느끼는","Comma-separated list of related feelings"
"emotions.disgust-1-dislike.borderInfo","Dislike is near Sadness because it involves emotional withdrawal and rejection.","싫어하는 느낌은 감정적 철수와 거부를 포함하므로 슬픔 영역에 가깝습니다.",""
"emotions.disgust-1-dislike.story","Every comment in the meeting, every ""well, actually,"" every interruption—Grace felt her jaw tighten a little more. She couldn't point to anything overtly offensive about her new colleague, but something about his manner set her teeth on edge. By the meeting's end, she knew she'd need to find ways to limit their interactions if she wanted to stay professional.","회의에서의 모든 댓글, 모든 '사실은 말이죠,' 모든 끼어들기마다 그레이스는 턱이 점점 더 단단해지는 것을 느꼈습니다. 새 동료에 대해 명백하게 불쾌한 것은 짚어낼 수 없었지만, 그의 태도에 무언가가 신경을 건드렸습니다. 회의가 끝날 무렵 그녀는 전문적인 모습을 유지하려면 그와의 상호작용을 제한할 방법을 찾아야 한다는 것을 알았습니다.",""
"emotions.disgust-2-avoidance.name","Avoidance","회피","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.disgust-2-avoidance.category","Disgust","혐오","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Disgust emotions must use identical category string."
"emotions.disgust-2-avoidance.description","A tendency to stay away from something unpleasant or uncomfortable. Avoidance is a protective response to things that feel threatening.","불쾌하거나 불편한 것으로부터 멀리 떨어지려는 경향입니다. 회피는 위협적으로 느껴지는 것에 대한 보호적 반응입니다.",""
"emotions.disgust-2-avoidance.question","What feels unsafe, overwhelming, or draining? How can you approach it with more support or clarity?","무엇이 안전하지 않거나 압도적이거나 지치게 느껴지나요? 더 많은 지원이나 명확성을 가지고 어떻게 접근할 수 있을까요?",""
"emotions.disgust-2-avoidance.overloadRisk","If you over-use this feeling, you may delay important actions, stay stuck, or let problems quietly grow.","이 느낌을 과도하게 사용하면 중요한 행동을 지연시키거나 제자리에 머물거나 문제를 조용히 키울 수 있습니다.",""
"emotions.disgust-2-avoidance.overloadTip","To balance, break the avoided task or situation into one very small step and consider what support, information, or boundary would make it more manageable.","균형을 위해, 피하고 있는 과제나 상황을 아주 작은 한 걸음으로 나누고, 그것을 더 관리하기 쉽게 만들 지원, 정보 또는 경계를 고려하세요.",""
"emotions.disgust-2-avoidance.adaptivePurpose","Signals that something seems too threatening, overwhelming, or unpleasant to face with your current resources.","현재의 자원으로는 너무 위협적이거나 압도적이거나 불쾌해서 직면하기 어렵다는 신호입니다.",""
"emotions.disgust-2-avoidance.relatedFeelings","Hesitant, Averse, Reluctant","망설이는, 싫어하는, 꺼리는","Comma-separated list of related feelings"
"emotions.disgust-2-avoidance.story","The pile of mail on the counter had grown into a small mountain. Bills, probably. Maybe something from the IRS. Omar walked past it every day, made coffee inches away from it, and somehow never quite managed to open any of it. He knew this was making things worse. He also knew he wasn't going to deal with it today. Probably not tomorrow either.","카운터 위의 우편물 더미는 작은 산이 되어 있었습니다. 아마 청구서일 것입니다. 어쩌면 국세청에서 온 것도. 오마르는 매일 그 옆을 지나가고, 불과 몇 센티미터 옆에서 커피를 만들면서도 어쩐지 하나도 열어보지 못했습니다. 이것이 상황을 악화시키고 있다는 것을 알았습니다. 하지만 오늘은 처리하지 않을 것이라는 것도 알았습니다. 아마 내일도 아닐 것입니다.",""
"emotions.disgust-2-avoidance.borderInfo","Avoidance is Disgust in action—the impulse to create distance. It sits between Dislike (the judgment) and Awful (intense disgust).","“회피” 느낌은 행동으로 나타나는 혐오—거리를 만들려는 충동입니다. “싫어하는”(판단)과 “끔찍한”(강렬한 혐오) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.disgust-3-aweful.name","Awful","끔찍한","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.disgust-3-aweful.category","Disgust","혐오","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Disgust emotions must use identical category string."
"emotions.disgust-3-aweful.description","A strong negative feeling about something very unpleasant or disagreeable. Feeling awful signals that something is deeply wrong or distressing.","매우 불쾌하거나 불쾌한 것에 대한 강한 부정적 느낌입니다. 끔찍하다고 느끼는 것은 무언가가 근본적으로 잘못되었거나 고통스럽다는 신호입니다.",""
"emotions.disgust-3-aweful.question","What feels harmful or unacceptable? What standard or value is signaling a need for change?","무엇이 해롭거나 받아들일 수 없다고 느껴지나요? 어떤 기준이나 가치가 변화의 필요성을 신호하고 있나요?",""
"emotions.disgust-3-aweful.overloadRisk","If you over-use this feeling, you may catastrophize, feel hopeless about change, or respond with only outrage instead of strategy.","이 느낌을 과도하게 사용하면 재앙적으로 생각하거나, 변화에 대해 절망하거나, 전략 대신 분노만으로 반응할 수 있습니다.",""
"emotions.disgust-3-aweful.overloadTip","To balance, clarify what exactly is harmful, then choose one realistic action—personal, relational, or systemic—that moves even slightly toward repair.","균형을 위해, 정확히 무엇이 해로운지를 명확히 한 다음, 약간이라도 회복을 향해 움직이는 현실적인 행동 하나를 선택하세요 -- 개인적, 관계적 또는 체계적으로.",""
"emotions.disgust-3-aweful.adaptivePurpose","Signals that something feels deeply wrong, harmful, or out of integrity with your core values.","무언가가 근본적으로 잘못되었거나, 해롭거나, 핵심 가치관과 어긋난다고 느끼는 신호입니다.",""
"emotions.disgust-3-aweful.relatedFeelings","Repelled, Detested, Horrible","밀어내고 싶은, 혐오하는, 끔찍한","Comma-separated list of related feelings"
"emotions.disgust-3-aweful.story","The documentary showed footage from the factory farms—animals in conditions she couldn't unsee. Natalie had known, intellectually, where her food came from. But knowing and seeing were different things. She closed her laptop, stomach churning, feeling implicated in something she'd never really let herself think about before.","다큐멘터리는 공장식 농장의 영상을 보여주었습니다 -- 잊을 수 없는 환경의 동물들. 나탈리는 지적으로는 음식이 어디서 오는지 알고 있었습니다. 하지만 아는 것과 보는 것은 다른 것이었습니다. 노트북을 닫고, 속이 뒤틀리며, 한 번도 제대로 생각해보지 않았던 무언가에 연루되어 있다고 느꼈습니다.",""
"emotions.disgust-3-aweful.borderInfo","Awful is the intense center of Disgust—a visceral rejection of something harmful. It sits between Avoidance (behavioral response) and Disapproval (moral judgment).","“끔찍한” 느낌은 혐오의 강렬한 중심—해로운 것에 대한 본능적 거부입니다. “회피”(행동적 반응)과 “불찬성”(도덕적 판단) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.disgust-4-disapproval.name","Disapproval","불찬성","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.disgust-4-disapproval.category","Disgust","혐오","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Disgust emotions must use identical category string."
"emotions.disgust-4-disapproval.description","A negative judgment or opinion about someone or something. Disapproval reflects a conflict between your values and what you observe.","누군가 또는 무언가에 대한 부정적인 판단이나 의견입니다. 불찬성은 자신의 가치관과 관찰하는 것 사이의 갈등을 반영합니다.",""
"emotions.disgust-4-disapproval.question","What expectation wasn't met? What value is prompting this reaction, and what change do you hope for?","어떤 기대가 충족되지 않았나요? 어떤 가치가 이 반응을 촉발하고 있으며, 어떤 변화를 희망하나요?",""
"emotions.disgust-4-disapproval.overloadRisk","If you over-use this feeling, you may become rigid, overly critical, or alienating to others.","이 느낌을 과도하게 사용하면 경직되거나, 지나치게 비판적이 되거나, 다른 사람들을 멀리할 수 있습니다.",""
"emotions.disgust-4-disapproval.overloadTip","To balance, connect to the value underneath your disapproval and express it in a way that invites dialogue and improvement, not shame.","균형을 위해, 불찬성 아래에 있는 가치관과 연결하고, 수치심이 아니라 대화와 개선을 초대하는 방식으로 표현하세요.",""
"emotions.disgust-4-disapproval.adaptivePurpose","Signals that a behavior or outcome does not meet your standards or values and that you care about doing better.","행동이나 결과가 기준이나 가치관에 부합하지 않으며, 더 잘하는 것에 대해 관심이 있다는 신호입니다.",""
"emotions.disgust-4-disapproval.relatedFeelings","Loathing, Judgmental, Critical","혐오하는, 판단적인, 비판적인","Comma-separated list of related feelings"
"emotions.disgust-4-disapproval.borderInfo","Disapproval is near Anger because it involves critical evaluation and potential confrontation.","불찬성 느낌은 비판적 평가와 잠재적 대면을 포함하므로 분노 영역에 가깝습니다.",""
"emotions.disgust-4-disapproval.story","Watching his son scroll through his phone during their grandmother's birthday speech, Richard felt his expression harden. The old woman was sharing memories of her late husband, her voice cracking with emotion, and Tyler couldn't be bothered to look up for five minutes. Richard caught his son's eye and gave a slow shake of his head. Some things shouldn't need to be explained.","할머니의 생일 축사 중에 아들이 휴대폰을 스크롤하는 것을 보며 리처드는 표정이 굳어지는 것을 느꼈습니다. 할머니는 돌아가신 남편의 추억을 나누며 목소리가 갈라지고 있었는데, 타일러는 5분도 고개를 들 수 없었습니다. 리처드는 아들의 눈을 잡고 천천히 고개를 저었습니다. 어떤 것들은 설명할 필요가 없어야 합니다.",""
"emotions.anger-1-aggressive.name","Aggressive","공격적인","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.anger-1-aggressive.category","Anger","분노","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anger emotions must use identical category string."
"emotions.anger-1-aggressive.description","A forceful and confrontational expression of anger. Aggression is often a response to feeling threatened or frustrated.","분노의 강력하고 대립적인 표현입니다. 공격성은 종종 위협받거나 좌절감을 느끼는 것에 대한 반응입니다.",""
"emotions.anger-1-aggressive.question","What boundary needs to be protected? What matters enough that you feel compelled to act?","어떤 경계가 보호되어야 하나요? 행동하지 않을 수 없을 정도로 중요한 것은 무엇인가요?",""
"emotions.anger-1-aggressive.overloadRisk","If you over-use this feeling, you may lash out in ways that harm others, escalate conflict, or undermine your own goals.","이 느낌을 과도하게 사용하면 다른 사람을 해치거나, 갈등을 고조시키거나, 자신의 목표를 훼손하는 방식으로 분출할 수 있습니다.",""
"emotions.anger-1-aggressive.overloadTip","To balance, pause before acting, use the energy to choose clear and firm words or actions, and focus on the outcome you truly want.","균형을 위해, 행동하기 전에 멈추고, 그 에너지를 명확하고 단호한 말이나 행동을 선택하는 데 사용하며, 진정으로 원하는 결과에 집중하세요.",""
"emotions.anger-1-aggressive.adaptivePurpose","Signals that you perceive a serious threat, injustice, or violation and feel a strong drive to defend or protect.","심각한 위협, 부당함 또는 위반을 인식하고 방어하거나 보호하려는 강한 충동을 느끼고 있다는 신호입니다.",""
"emotions.anger-1-aggressive.relatedFeelings","Hostile, Provoked, Combative","적대적인, 자극받은, 전투적인","Comma-separated list of related feelings"
"emotions.anger-1-aggressive.borderInfo","Aggressive is near Disgust because it involves rejecting or pushing away what's unacceptable.","공격적인 느낌은 받아들일 수 없는 것을 거부하거나 밀어내는 것을 포함하므로 혐오 영역에 가깝습니다.",""
"emotions.anger-1-aggressive.story","""Say that again."" Victor's voice was low, dangerous. The man at the bar had made a comment about his wife—loud enough to be heard, quiet enough to deny. Victor felt his hands curl into fists, felt the familiar heat rising in his chest. Every instinct screamed at him to make this guy regret opening his mouth. His wife's hand on his arm was the only thing holding him back.","'다시 한 번 말해 봐.' 빅터의 목소리는 낮고 위험했습니다. 바에서 한 남자가 그의 아내에 대해 댓글을 달았습니다 -- 들릴 만큼 크게, 부인할 수 있을 만큼 조용하게. 빅터는 주먹이 쥐어지고 가슴에서 익숙한 열기가 올라오는 것을 느꼈습니다. 모든 본능이 이 남자가 입을 연 것을 후회하게 만들라고 소리쳤습니다. 아내가 팔을 잡는 것만이 그를 붙잡고 있었습니다.",""
"emotions.anger-2-mad.name","Mad","화난","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.anger-2-mad.category","Anger","분노","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anger emotions must use identical category string."
"emotions.anger-2-mad.description","An intense feeling of displeasure or rage. Being mad signals that something has violated your boundaries or expectations.","강렬한 불쾌함이나 격분의 느낌입니다. 화가 나는 것은 무언가가 당신의 경계나 기대를 위반했다는 신호입니다.",""
"emotions.anger-2-mad.question","What value or expectation was violated? What do you need to express or repair?","어떤 가치나 기대가 위반되었나요? 무엇을 표현하거나 회복해야 하나요?",""
"emotions.anger-2-mad.overloadRisk","If you over-use this feeling, you may hold grudges, replay the story, or attack rather than seek resolution.","이 느낌을 과도하게 사용하면 원한을 품거나, 이야기를 반복하거나, 해결을 찾기보다 공격할 수 있습니다.",""
"emotions.anger-2-mad.overloadTip","To balance, name specifically what was not okay and decide whether you want to set a boundary, ask for change, or consciously let it go.","균형을 위해, 구체적으로 무엇이 괜찮지 않았는지 말하고, 경계를 설정할지, 변화를 요청할지, 의식적으로 내려놓을지 결정하세요.",""
"emotions.anger-2-mad.adaptivePurpose","Signals that something feels unfair or not okay and that you want change or acknowledgment.","무언가가 불공정하거나 괜찮지 않다고 느끼며 변화나 인정을 원한다는 신호입니다.",""
"emotions.anger-2-mad.relatedFeelings","Enraged, Furious, Livid","격분한, 격노한, 극도로 화난","Comma-separated list of related feelings"
"emotions.anger-2-mad.story","Three hours. Three hours she'd been waiting for the cable company, watching the window between ""12 and 4"" slowly tick away. When her phone finally rang at 4:30—""We need to reschedule""—Diane felt something snap. The carefully worded complaint she'd prepared vanished, replaced by a flood of every frustration she'd swallowed for months. The customer service rep didn't deserve it, but he got it anyway.","세 시간. 그녀는 케이블 회사를 위해 세 시간을 기다렸고, '12시에서 4시 사이'의 시간이 천천히 흘러가는 것을 지켜보았습니다. 마침내 4시 30분에 전화가 울렸을 때 -- '일정을 재조정해야 합니다' -- 다이앤은 무언가가 끊어지는 것을 느꼈습니다. 신중하게 준비했던 불만 사항은 사라지고, 몇 달간 삼켰던 모든 좌절감이 쏟아져 나왔습니다. 고객 서비스 직원은 그럴 자격이 없었지만 그가 받았습니다.",""
"emotions.anger-2-mad.borderInfo","Mad is the hot center of Anger—intense displeasure at a violation. It sits between Aggressive (action-ready) and Frustrated (blocked goals).","“화난” 느낌은 분노의 뜨거운 중심—위반에 대한 강렬한 불쾌입니다. “공격적인”(행동 준비가 된)과 “좌절한”(목표가 차단된) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.anger-3-frustrated.name","Frustrated","좌절한","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.anger-3-frustrated.category","Anger","분노","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anger emotions must use identical category string."
"emotions.anger-3-frustrated.description","A feeling of upset or annoyance when unable to achieve something. Frustration arises from blocked goals or unmet needs.","무언가를 달성할 수 없을 때의 불쾌함이나 짜증의 느낌입니다. 좌절은 차단된 목표나 충족되지 않은 필요에서 비롯됩니다.",""
"emotions.anger-3-frustrated.question","What's getting in the way of your goal? What shift—internal or external—would help you move forward?","무엇이 목표를 방해하고 있나요? 어떤 변화 -- 내부적이든 외부적이든 -- 가 전진하는 데 도움이 될까요?",""
"emotions.anger-3-frustrated.overloadRisk","If you over-use this feeling, you may give up, blame others, or push people too hard.","이 느낌을 과도하게 사용하면 포기하거나, 남을 탓하거나, 사람들을 너무 몰아붙일 수 있습니다.",""
"emotions.anger-3-frustrated.overloadTip","To balance, step back to clarify your goal, then choose one different approach, request, or boundary that could unlock movement.","균형을 위해, 한 걸음 물러서서 목표를 명확히 한 다음, 움직임을 이끌어낼 수 있는 다른 접근 방식, 요청 또는 경계 하나를 선택하세요.",""
"emotions.anger-3-frustrated.adaptivePurpose","Signals that your effort is blocked and you want progress, efficiency, or a different result.","노력이 막혀 있으며 진전, 효율성 또는 다른 결과를 원하고 있다는 신호입니다.",""
"emotions.anger-3-frustrated.relatedFeelings","Annoyed, Irritated, Exasperated","짜증난, 화가 난, 지친","Comma-separated list of related feelings"
"emotions.anger-3-frustrated.story","The code should work. Alex had checked every line, compared it to the documentation, even copied examples directly. Still, the same error message, mocking him in red. He'd been at this for six hours. His coffee was cold. The solution was probably something obvious, something he'd kick himself for missing. But right now, all he wanted was to throw his laptop out the window.","코드는 작동해야 했습니다. 알렉스는 모든 줄을 확인하고, 문서와 비교하고, 예시를 직접 복사까지 했습니다. 그래도 같은 오류 메시지가 빨간색으로 그를 비웃었습니다. 여섯 시간째였습니다. 커피는 차가워졌습니다. 해답은 아마 뻔한 것일 테고, 나중에 놓친 것을 알면 자신을 탓할 것입니다. 하지만 지금은 노트북을 창 밖으로 던지고 싶을 뿐이었습니다.",""
"emotions.anger-3-frustrated.borderInfo","Frustrated is Anger meeting obstacles—the energy to change something that isn't working. It sits between Mad (intense anger) and Critical (analytical anger).","“좌절한” 느낌은 분노가 장애물을 만나는 것—작동하지 않는 것을 바꾸려는 에너지입니다. “화난”(강렬한 분노)과 “비판적인”(분석적 분노) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.anger-4-critical.name","Critical","비판적인","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.anger-4-critical.category","Anger","분노","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anger emotions must use identical category string."
"emotions.anger-4-critical.description","A tendency to find fault or judge harshly. Being critical can be a form of anger directed at perceived flaws or failures.","결함을 찾거나 가혹하게 판단하는 경향입니다. 비판적이 되는 것은 인식된 결함이나 실패에 대한 분노의 한 형태일 수 있습니다.",""
"emotions.anger-4-critical.question","What improvement do you see is needed? What outcome are you trying to protect or enhance?","어떤 개선이 필요하다고 보나요? 어떤 결과를 보호하거나 향상시키려고 하나요?",""
"emotions.anger-4-critical.overloadRisk","If you over-use this feeling, you may default to fault-finding, discourage others, or block creativity and experimentation.","이 느낌을 과도하게 사용하면 결함 찾기가 기본이 되거나, 다른 사람들의 의욕을 꺾거나, 창의성과 실험을 차단할 수 있습니다.",""
"emotions.anger-4-critical.overloadTip","To balance, acknowledge at least one thing that is working before naming concerns, and frame your critique as a contribution to shared improvement.","균형을 위해, 우려 사항을 말하기 전에 잘 작동하는 것 하나를 인정하고, 비판을 공유된 개선에 대한 기여로 표현하세요.",""
"emotions.anger-4-critical.adaptivePurpose","Signals that you notice risks, errors, or potential improvements and care about quality or integrity.","위험, 오류 또는 잠재적 개선 사항을 발견하고 품질이나 진정성에 관심이 있다는 신호입니다.",""
"emotions.anger-4-critical.relatedFeelings","Sarcastic, Skeptical, Judgmental","비꼬는, 회의적인, 판단적인","Comma-separated list of related feelings"
"emotions.anger-4-critical.borderInfo","Critical is near Anticipation because it involves vigilance and preparation against potential problems.","비판적인 느낌은 경계와 잠재적 문제에 대한 대비를 포함하므로 기대 영역에 가깝습니다.",""
"emotions.anger-4-critical.story","""It's fine, I guess."" Sophie watched her roommate's face fall at the lukewarm response to her new painting. She hadn't meant to be harsh, but she could see every flaw—the muddy colors, the uncertain brushwork, the derivative composition. The kindest thing would have been encouraging words. Instead, she'd let her standards speak for her, and now the moment to be supportive had passed.","'괜찮은 것 같아.' 소피는 새 그림에 대한 미지근한 반응에 룸메이트의 얼굴이 처지는 것을 지켜보았습니다. 거칠게 말하려던 것은 아니었지만, 탁한 색상, 불확실한 붓 터치, 파생적인 구성 등 모든 결점이 보였습니다. 가장 친절한 것은 격려의 말이었을 것입니다. 대신 그녀의 기준이 대신 말하게 되었고, 이제 격려할 수 있는 순간은 지나가 버렸습니다.",""
"emotions.anticipation-1-excited.name","Excited","신나는","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.anticipation-1-excited.category","Anticipation","기대","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anticipation emotions must use identical category string."
"emotions.anticipation-1-excited.description","A feeling of enthusiastic eagerness about something that's going to happen. Excitement energizes you and creates positive anticipation.","앞으로 일어날 일에 대한 열정적인 기대의 느낌입니다. 흥분은 에너지를 주고 긍정적인 기대를 만듭니다.",""
"emotions.anticipation-1-excited.question","What opportunity is energizing you? How can you channel this energy into intentional action?","어떤 기회가 에너지를 주고 있나요? 이 에너지를 의도적인 행동으로 어떻게 전환할 수 있나요?",""
"emotions.anticipation-1-excited.overloadRisk","If you over-use this feeling, you may overcommit, rush ahead without planning, or burn out.","이 느낌을 과도하게 사용하면 너무 많은 것을 약속하거나, 계획 없이 서두르거나, 번아웃될 수 있습니다.",""
"emotions.anticipation-1-excited.overloadTip","To balance, match your energy with a realistic plan and pacing, and choose one clear next step instead of trying to do everything at once.","균형을 위해, 에너지를 현실적인 계획과 페이스에 맞추고, 모든 것을 한꺼번에 하려 하기보다 명확한 다음 단계 하나를 선택하세요.",""
"emotions.anticipation-1-excited.adaptivePurpose","Signals that you feel energized by a possibility and are ready to engage with it.","가능성에 의해 활력을 얻고 그것에 참여할 준비가 되어 있다는 신호입니다.",""
"emotions.anticipation-1-excited.relatedFeelings","Passionate, Energized, Thrilled","열정적인, 에너지 넘치는, 전율하는","Comma-separated list of related feelings"
"emotions.anticipation-1-excited.borderInfo","Excited is near Anger because it involves intense energy and readiness for action.","신나는 느낌은 강렬한 에너지와 행동에 대한 준비를 포함하므로 분노 영역에 가깝습니다.",""
"emotions.anticipation-1-excited.story","The concert was still three weeks away, but Jasmine had already planned her outfit, made a playlist of songs to re-learn, and started counting down the days. She'd been following this band since middle school, knew every album, every interview. The fact that she'd actually gotten tickets—good tickets—still didn't feel entirely real.","콘서트는 아직 삼 주나 남았지만 재스민은 이미 옷을 골라놓고, 다시 배울 노래 플레이리스트를 만들고, 카운트다운을 시작했습니다. 그녀는 중학교 때부터 이 밴드를 따라왔고, 모든 앨범과 인터뷰를 알고 있었습니다. 실제로 티켓을 -- 좋은 좌석으로 -- 구했다는 사실이 아직 완전히 실감나지 않았습니다.",""
"emotions.anticipation-2-eager.name","Eager","열망하는","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.anticipation-2-eager.category","Anticipation","기대","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anticipation emotions must use identical category string."
"emotions.anticipation-2-eager.description","A keen desire or readiness to do or experience something. Eagerness drives you forward with enthusiasm and motivation.","무언가를 하거나 경험하려는 강렬한 욕구나 준비 상태입니다. 열망은 열정과 동기로 앞으로 나아가게 합니다.",""
"emotions.anticipation-2-eager.question","What do you want to move toward? What first step would move you in that direction?","무엇을 향해 움직이고 싶은가요? 그 방향으로 나아갈 첫 번째 단계는 무엇인가요?",""
"emotions.anticipation-2-eager.overloadRisk","If you over-use this feeling, you may ignore red flags, skip reflection, or say yes too often.","이 느낌을 과도하게 사용하면 경고 신호를 무시하거나, 성찰을 건너뛰거나, 너무 자주 동의할 수 있습니다.",""
"emotions.anticipation-2-eager.overloadTip","To balance, pause to ask what information, boundaries, or preparation you need before you move, then take a thoughtful first step.","균형을 위해, 움직이기 전에 어떤 정보, 경계 또는 준비가 필요한지 물어보고, 그 다음 신중한 첫 걸음을 내딛으세요.",""
"emotions.anticipation-2-eager.adaptivePurpose","Signals that you feel ready to pursue something and want to move quickly toward it.","무언가를 추구할 준비가 되어 있고 빠르게 그것을 향해 나아가고 싶다는 신호입니다.",""
"emotions.anticipation-2-eager.relatedFeelings","Enthusiastic, Motivated, Keen","열정적인, 동기부여된, 간절한","Comma-separated list of related feelings"
"emotions.anticipation-2-eager.story","When the email came through—""Your application has been approved""—Ben was already grabbing his car keys. The rescue shelter closed in an hour, and somewhere inside was the dog he'd seen online, the one with the goofy ears and the soulful eyes. Six months of researching breeds, preparing his apartment, waiting for the right moment. Today was the day.","이메일이 도착했습니다 -- '신청이 승인되었습니다.' 벤은 이미 차 열쇠를 잡고 있었습니다. 구조 센터는 한 시간 후에 문을 닫고, 그 안 어딘가에 온라인에서 본 그 개가 있었습니다 -- 우스꽝스러운 귀와 애잔한 눈을 가진. 품종을 조사하고, 아파트를 준비하고, 적절한 시기를 기다린 6개월. 오늘이 그 날이었습니다.",""
"emotions.anticipation-2-eager.borderInfo","Eager is Anticipation in motion—ready and wanting to engage. It sits between Excited (high energy) and Interested (curious engagement).","“열망하는” 느낌은 움직이는 기대—준비가 되어 참여하고 싶은 상태입니다. “신나는”(높은 에너지)과 “관심 있는”(호기심 어린 참여) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.anticipation-3-interested.name","Interested","관심 있는","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.anticipation-3-interested.category","Anticipation","기대","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anticipation emotions must use identical category string."
"emotions.anticipation-3-interested.description","A feeling of wanting to learn more or be involved in something. Interest draws your attention and curiosity toward new experiences.","무언가에 대해 더 배우거나 참여하고 싶은 느낌입니다. 관심은 새로운 경험을 향해 주의와 호기심을 끌어당깁니다.",""
"emotions.anticipation-3-interested.question","What is drawing your attention? What feels worth exploring or understanding more deeply?","무엇이 주의를 끌고 있나요? 무엇을 더 깊이 탐구하거나 이해할 가치가 있다고 느껴지나요?",""
"emotions.anticipation-3-interested.overloadRisk","If you over-use this feeling, you may scatter your focus, start many things, and finish few.","이 느낌을 과도하게 사용하면 초점이 분산되어 많은 것을 시작하고 거의 완료하지 못할 수 있습니다.",""
"emotions.anticipation-3-interested.overloadTip","To balance, consciously choose one focus area for now and capture other interests on a list for later, so you can explore with intention.","균형을 위해, 지금은 한 가지 초점 영역을 의식적으로 선택하고 다른 관심사는 나중을 위해 목록에 적어두어 의도를 가지고 탐구할 수 있게 하세요.",""
"emotions.anticipation-3-interested.adaptivePurpose","Signals that your curiosity is activated and you see potential value in learning or exploring.","호기심이 활성화되어 배우거나 탐구하는 것에 잠재적 가치를 보고 있다는 신호입니다.",""
"emotions.anticipation-3-interested.relatedFeelings","Impatient, Curious, Engaged","참을성 없는, 호기심 많은, 몰입한","Comma-separated list of related feelings"
"emotions.anticipation-3-interested.story","""Tell me more about that."" Professor Walsh leaned forward, genuinely curious. The student's thesis proposal wasn't polished yet, but there was something there—an unexpected connection between fields that rarely spoke to each other. Her mind was already racing with questions, potential research directions, colleagues who might want to collaborate. This was why she loved academia.","'그것에 대해 더 말씀해 주세요.' 월시 교수는 진정으로 호기심 어린 눈으로 몸을 앞으로 기울였습니다. 학생의 논문 제안서는 아직 다듬어지지 않았지만, 거기에는 무언가가 있었습니다 -- 좀처럼 대화하지 않는 분야들 사이의 예상치 못한 연결. 그녀의 마음은 이미 질문들, 잠재적 연구 방향들, 협업하고 싶어할 동료들로 빠르게 돌아가고 있었습니다. 이것이 학문을 사랑하는 이유였습니다.",""
"emotions.anticipation-3-interested.borderInfo","Interested is the thoughtful heart of Anticipation—attention drawn toward something worth exploring. It sits between Eager (ready to act) and Stressed (overwhelmed by demands).","“관심 있는” 느낌은 기대의 사려 깊은 핵심—탐구할 가치가 있는 것에 주의가 끌리는 상태입니다. “열망하는”(행동할 준비가 된)과 “스트레스 받는”(요구에 압도된) 사이에 위치합니다.","Emotional algebra text; describes position between neighboring emotions"
"emotions.anticipation-4-stressed.name","Stressed","스트레스 받는","Emotion name; verify it captures the same shade of meaning as the English."
"emotions.anticipation-4-stressed.category","Anticipation","기대","MUST match getCategoryColor()/getCategoryClass() in script.js. All 4 Anticipation emotions must use identical category string."
"emotions.anticipation-4-stressed.description","A state of mental or emotional strain from demanding circumstances. Stress signals that you're facing challenges that require energy and resources.","요구하는 상황으로 인한 정신적 또는 감정적 긴장의 상태입니다. 스트레스는 에너지와 자원이 필요한 도전에 직면하고 있다는 신호입니다.",""
"emotions.anticipation-4-stressed.question","What pressures need attention? Where do you need relief, support, or clearer boundaries?","어떤 압박이 주의를 필요로 하나요? 어디에서 완화, 지원 또는 더 명확한 경계가 필요한가요?",""
